id,title,release_date,overview,genres,poster_path
1197306,A Working Man,2025-03-26,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.","Action, Crime, Thriller",/xUkUZ8eOnrOnnJAfusZUqKYZiDu.jpg
324544,In the Lost Lands,2025-02-27,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where she and her guide, the drifter Boyce, must outwit and outfight both man and demon.","Fantasy, Adventure, Action",/iHf6bXPghWB6gT8kFkL1zo00x6X.jpg
950387,A Minecraft Movie,2025-03-31,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.","Family, Comedy, Adventure, Fantasy",/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg
1045938,G20,2025-04-09,"After the G20 Summit is overtaken by terrorists, President Danielle Sutton must bring all her statecraft and military experience to defend her family and her fellow leaders.","Action, Mystery, Drama",/wv6oWAleCJZUk5htrGg413t3GCy.jpg
1195506,Novocaine,2025-03-12,"When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.","Action, Comedy, Thriller",/xmMHGz9dVRaMY6rRAlEX4W0Wdhm.jpg
1293286,Gunslingers,2025-04-11,"When the most wanted man in America surfaces in a small Kentucky town, his violent history -- and a blood-thirsty mob seeking vengeance and a king’s ransom -- soon follow. As brothers face off against one another and bullets tear the town to shreds, this lightning-fast gunslinger makes his enemies pay the ultimate price for their greed.","Western, Action",/O7REXWPANWXvX2jhQydHjAq2DV.jpg
822119,Captain America: Brave New World,2025-02-12,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.","Action, Thriller, Science Fiction",/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg
1244944,The Woman in the Yard,2025-03-27,"In the aftermath of her husband's death, widow Ramona's struggle to raise her two kids is hindered by the arrival of a mysterious woman with supernatural abilities.","Horror, Mystery",/n0WS2TsNcS6dtaZKzxipyO7LuCJ.jpg
615,The Passion of the Christ,2004-02-25,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,Drama,/4i76mQwY9rkBdARgZF2Dgh4Dekm.jpg
1312833,A Knight's War,2025-02-07,"A fearless knight braves a deadly realm to save the Chosen One’s soul. Facing witches, demons, and brutal foes, he discovers her return could ignite chaos and doom humanity.","Horror, Action, Fantasy",/janjdSMrTRGtPrI1p9uOX66jv7x.jpg
